playlist_name,track_pos,track_name,artist_name,album_name,track_id
Party,0,Little Swing,AronChupa,Little Swing,66U0ASk1VHZsqIkpMjKX3B
Party,1,I'm an Albatraoz,AronChupa,I'm an Albatraoz,5MhsZlmKJG6X5kTHkdwC4B
Party,2,Yellow Flicker Beat - From The Hunger Games: Mockingjay Part 1,Lorde,Yellow Flicker Beat,0GZoB8h0kqXn7XFm4Sj06k
Party,3,White Teeth Teens,Lorde,Pure Heroine,35kahykNu00FPysz3C2euR
Party,4,Team,Lorde,Pure Heroine,3G6hD9B2ZHOsgf4WfNu7X1
school,0,Heroes (we could be),Alesso,Forever,6WQLkih8nE0JdUCEyLaGnQ
school,1,Superheroes,The Script,No Sound Without Silence,37sINbJZcFdHFAsVNsPq1i
school,2,Centuries,Fall Out Boy,American Beauty/American Psycho,0yhPEz5KxlDwckGJaMlZqM
school,3,Best Day Of My Life,American Authors,"Oh, What A Life",5j9iuo3tMmQIfnEEQOOjxh
school,4,On Top Of The World,Imagine Dragons,Night Visions,4eLSCSELtKxZwXnFbNLXT5
Modern Music,0,Beggin For Thread,Banks,Goddess,4PvD06Pmbm2rHG2JjSlElF
Modern Music,1,Ways To Go,Grouplove,Spreading Rumours,57nNNkgk768QVXq3uHxu5e
Modern Music,2,Dangerous (feat. Joywave),Big Data,2.0,3y8AEUef1AVfr0npU5UOa9
Modern Music,3,Lampshades on Fire,Modest Mouse,Strangers to Ourselves,5jJ69cMDMC0aeWPjZo6VP2
Modern Music,4,Primadonna,Marina and the Diamonds,Electra Heart,02b5L9jExmkRTdUTqXFzmR
lit 2.0,0,Firebird,Galantis,Pharmacy,6fKEplI9iN0JMHsRGQESaT
lit 2.0,1,Scared to Be Lonely,Martin Garrix,Scared to Be Lonely,3ebXMykcMXOcLeJ9xZ17XH
lit 2.0,2,Limelight - NGHTMRE Remix,Just A Gent,Limelight,1J9KJgXKFRqKGIzmJ7GjS3
lit 2.0,3,Carmalude,Carmada,Realise,6aBYg6Npa47VAqtEsLsUdz
lit 2.0,4,Stay (with Alessia Cara),Zedd,Stay,0dA2Mk56wEzDgegdC6R17g
bbq,0,All My Love,Stick Figure,Set in Stone,3ik1fFvzdgmVuiob8t8NlG
bbq,1,Coming Home,Stick Figure,Burial Ground,05BJQUM4bATKGFheqrC6CW
bbq,2,Smiles on Faces (feat. KBong),Stick Figure,Set in Stone,0rfGRC3ng0dxu0xZ3f1bWc
bbq,3,Choice Is Yours (feat. Slightly Stoopid),Stick Figure,Set in Stone,1azvKxDb5Vkph2KR7aq1Cx
bbq,4,Sound of the Sea,Stick Figure,Set in Stone,1Gsv8f8KmowkF5BnfMIGKy
Classic Jams,0,You Give Love A Bad Name,Bon Jovi,Slippery When Wet,3KYiA4vq6RPO1dE2XROXd8
Classic Jams,1,Must Of Got Lost,The J. Geils Band,Nightmares...And Other Tales From The Vinyl Jungle,252pAlbltOjOcUux4dRtjp
Classic Jams,2,Centerfold,The J. Geils Band,Freeze Frame,1ynmMEK1fkyiZ6Z6F3ThEt
Classic Jams,3,Waitin' on a Sunny Day - The Song,Bruce Springsteen,The Rising,7vIyudiO2Tr9hZ2yzfwQmx
Classic Jams,4,Saturday Night’s Alright (For Fighting) - Remastered,Elton John,Goodbye Yellow Brick Road,12yHvSYFXI7PGzNecUvIDu
dank,0,A Walk,Tycho,Dive,6koWevx9MqN6efQ6qreIbm
dank,1,Tell Me,Giraffage,No Reason,2F46y5zSlBKOqco0k8xQAM
dank,2,Quand Vas Tu Rentrer ?,Melody's Echo Chamber,Melody's Echo Chamber,00YnfZzpODxlE6nNwfPCbv
dank,3,Paracosm,Washed Out,Paracosm,3PiyMOuCTB4Rc624hRr2rC
dank,4,Feel It All Around,Washed Out,Life Of Leisure,6IE47jpPeatF2Iay7GZtEc
Dance,0,Wake Up,Fetty Wap,Wake Up,6BOtDFg6GJm0rPUDuNmx57
Dance,1,Controlla,Drake,Views,6F609ICg9Spjrw1epsAnpa
Dance,2,Work,Rihanna,ANTI,14WWzenpaEgQZlqPq2nk4v
Dance,3,One Dance,Drake,Views,1xznGGDReH1oQq0xzbwXa3
Dance,4,Crazy,Gnarls Barkley,St. Elsewhere,1vxw6aYJls2oq3gW0DujAo
Pop Playlist,0,One Dance,Drake,Views,1xznGGDReH1oQq0xzbwXa3
Pop Playlist,1,Work from Home,Fifth Harmony,7/27,4tCtwWceOPWzenK2HAIJSb
Pop Playlist,2,Wild Things,Alessia Cara,Know-It-All,2ZyuwVvV6Z3XJaXIFbspeE
